Entry,Exp_Rate_Constant k1 (M-1s-1),Substrate SMILES,Nucleophile SMILES,Product SMILES,Reaction SMILES,Temp (K),Activation Free Energy (kcalmol-1),Reference,Year,Title,Authors,DOI,Book_Page,Table,Nucleophile,Leaving Group,Solvent,logk,Entry IDs of Duplicates,Model_Flag
11,1.3,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,C1CCNC1,O=[N+]([O-])c1ccc(N2CCCC2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.C1CCNC1>>O=[N+]([O-])c1ccc(N2CCCC2)c([N+](=O)[O-])c1,298,17.27,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Pyrrolidine,Cl,Acetonitrile,0.11,164,modelled
12,0.055,O=[N+]([O-])c1cccc([N+](=O)[O-])c1Cl,C1CCNC1,O=[N+]([O-])c1cccc([N+](=O)[O-])c1N1CCCC1,O=[N+]([O-])c1cccc([N+](=O)[O-])c1Cl.C1CCNC1>>O=[N+]([O-])c1cccc([N+](=O)[O-])c1N1CCCC1,298,19.14,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Pyrrolidine,Cl,Acetonitrile,-1.26,,modelled
13,0.073,O=[N+]([O-])c1ccc(Cl)nc1,C1CCNC1,O=[N+]([O-])c1ccc(N2CCCC2)nc1,O=[N+]([O-])c1ccc(Cl)nc1.C1CCNC1>>O=[N+]([O-])c1ccc(N2CCCC2)nc1,298,18.97,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Pyrrolidine,Cl,Acetonitrile,-1.14,343,modelled
14,0.175,O=[N+]([O-])c1cccnc1Cl,C1CCNC1,O=[N+]([O-])c1cccnc1N1CCCC1,O=[N+]([O-])c1cccnc1Cl.C1CCNC1>>O=[N+]([O-])c1cccnc1N1CCCC1,298,18.46,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Pyrrolidine,Cl,Acetonitrile,-0.76,344,modelled
15,0.0099,O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,C1CCNC1,O=[N+]([O-])c1cc(C(F)(F)F)ccc1N1CCCC1,O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl.C1CCNC1>>O=[N+]([O-])c1cc(C(F)(F)F)ccc1N1CCCC1,298,20.15,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Pyrrolidine,Cl,Acetonitrile,-2,,modelled
16,0.012,N#Cc1cc([N+](=O)[O-])ccc1Cl,C1CCNC1,N#Cc1cc([N+](=O)[O-])ccc1N1CCCC1,N#Cc1cc([N+](=O)[O-])ccc1Cl.C1CCNC1>>N#Cc1cc([N+](=O)[O-])ccc1N1CCCC1,298,20.04,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Pyrrolidine,Cl,Acetonitrile,-1.92,,modelled
17,570,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,C1CCNC1,O=[N+]([O-])c1ccc(N2CCCC2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1.C1CCNC1>>O=[N+]([O-])c1ccc(N2CCCC2)c([N+](=O)[O-])c1,298,13.67,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Pyrrolidine,F,Acetonitrile,2.76,,modelled
18,5,O=[N+]([O-])c1cc(C(F)(F)F)ccc1F,C1CCNC1,O=[N+]([O-])c1cc(C(F)(F)F)ccc1N1CCCC1,O=[N+]([O-])c1cc(C(F)(F)F)ccc1F.C1CCNC1>>O=[N+]([O-])c1cc(C(F)(F)F)ccc1N1CCCC1,298,16.47,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Pyrrolidine,F,Acetonitrile,0.7,,modelled
19,0.022,O=[N+]([O-])c1ccc(F)c(C(F)(F)F)c1,C1CCNC1,O=[N+]([O-])c1ccc(N2CCCC2)c(C(F)(F)F)c1,O=[N+]([O-])c1ccc(F)c(C(F)(F)F)c1.C1CCNC1>>O=[N+]([O-])c1ccc(N2CCCC2)c(C(F)(F)F)c1,298,19.68,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Pyrrolidine,F,Acetonitrile,-1.66,,modelled
20,,N#Cc1cc([N+](=O)[O-])ccc1F,C1CCNC1,N#Cc1cc([N+](=O)[O-])ccc1N1CCCC1,N#Cc1cc([N+](=O)[O-])ccc1F.C1CCNC1>>N#Cc1cc([N+](=O)[O-])ccc1N1CCCC1,298,,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Pyrrolidine,F,Acetonitrile,,,missing data
21,0.52,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,298,17.81,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Piperidine,Cl,Acetonitrile,-0.28,"140, 477",modelled
22,0.023,O=[N+]([O-])c1cccc([N+](=O)[O-])c1Cl,C1CCNCC1,O=[N+]([O-])c1cccc([N+](=O)[O-])c1N1CCCCC1,O=[N+]([O-])c1cccc([N+](=O)[O-])c1Cl.C1CCNCC1>>O=[N+]([O-])c1cccc([N+](=O)[O-])c1N1CCCCC1,298,19.66,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Piperidine,Cl,Acetonitrile,-1.64,,modelled
23,0.033,O=[N+]([O-])c1ccc(Cl)nc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)nc1,O=[N+]([O-])c1ccc(Cl)nc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)nc1,298,19.44,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Piperidine,Cl,Acetonitrile,-1.48,341,modelled
24,0.035,O=[N+]([O-])c1cccnc1Cl,C1CCNCC1,O=[N+]([O-])c1cccnc1N1CCCCC1,O=[N+]([O-])c1cccnc1Cl.C1CCNCC1>>O=[N+]([O-])c1cccnc1N1CCCCC1,298,19.41,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Piperidine,Cl,Acetonitrile,-1.46,342,modelled
25,0.0028,O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,C1CCNCC1,O=[N+]([O-])c1cc(C(F)(F)F)ccc1N1CCCCC1,O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl.C1CCNCC1>>O=[N+]([O-])c1cc(C(F)(F)F)ccc1N1CCCCC1,298,20.9,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Piperidine,Cl,Acetonitrile,-2.55,,modelled
26,0.0058,N#Cc1cc([N+](=O)[O-])ccc1Cl,C1CCNCC1,N#Cc1cc([N+](=O)[O-])ccc1N1CCCCC1,N#Cc1cc([N+](=O)[O-])ccc1Cl.C1CCNCC1>>N#Cc1cc([N+](=O)[O-])ccc1N1CCCCC1,298,20.47,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Piperidine,Cl,Acetonitrile,-2.24,,modelled
27,150,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,298,14.46,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Piperidine,F,Acetonitrile,2.18,"109, 114",modelled
28,2.1,O=[N+]([O-])c1cc(C(F)(F)F)ccc1F,C1CCNCC1,O=[N+]([O-])c1cc(C(F)(F)F)ccc1N1CCCCC1,O=[N+]([O-])c1cc(C(F)(F)F)ccc1F.C1CCNCC1>>O=[N+]([O-])c1cc(C(F)(F)F)ccc1N1CCCCC1,298,16.99,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Piperidine,F,Acetonitrile,0.32,,modelled
29,0.0022,O=[N+]([O-])c1ccc(F)c(C(F)(F)F)c1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)c(C(F)(F)F)c1,O=[N+]([O-])c1ccc(F)c(C(F)(F)F)c1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)c(C(F)(F)F)c1,298,21.04,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Piperidine,F,Acetonitrile,-2.66,,modelled
30,0.46,N#Cc1cc([N+](=O)[O-])ccc1F,C1CCNCC1,N#Cc1cc([N+](=O)[O-])ccc1N1CCCCC1,N#Cc1cc([N+](=O)[O-])ccc1F.C1CCNCC1>>N#Cc1cc([N+](=O)[O-])ccc1N1CCCCC1,298,17.88,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,Piperidine,F,Acetonitrile,-0.34,,modelled
31,0.21,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,Nc1ccc([S-])cc1,Nc1ccc(Sc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.Nc1ccc([S-])cc1>>Nc1ccc(Sc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,298,18.35,"J. Chem. Soc., Perkin Trans. 2, 1974, 238-241",1974,Some studies of substituent effects on the nucleophilic reactivities of thiophenoxide ions,"Crampton, Michael R.; Willison, Michael J.",https://doi.org/10.1039/P29740000238,,3,4-aminobenzenethiol,Cl,Ethanol:Water (95% v/v),-0.68,,modelled
32,0.096,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,COc1ccc([S-])cc1,COc1ccc(Sc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.COc1ccc([S-])cc1>>COc1ccc(Sc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,298,18.81,"J. Chem. Soc., Perkin Trans. 2, 1974, 238-241",1974,Some studies of substituent effects on the nucleophilic reactivities of thiophenoxide ions,"Crampton, Michael R.; Willison, Michael J.",https://doi.org/10.1039/P29740000238,,3,4-methoxybenzenethiol,Cl,Ethanol:Water (95% v/v),-1.02,,modelled
33,0.064,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,Cc1ccc([S-])cc1,Cc1ccc(Sc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.Cc1ccc([S-])cc1>>Cc1ccc(Sc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,298,19.05,"J. Chem. Soc., Perkin Trans. 2, 1974, 238-241",1974,Some studies of substituent effects on the nucleophilic reactivities of thiophenoxide ions,"Crampton, Michael R.; Willison, Michael J.",https://doi.org/10.1039/P29740000238,,3,4-methylbenzenethiol,Cl,Ethanol:Water (95% v/v),-1.19,,modelled
34,0.034,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,Cc1cccc([S-])c1,Cc1cccc(Sc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.Cc1cccc([S-])c1>>Cc1cccc(Sc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1,298,19.42,"J. Chem. Soc., Perkin Trans. 2, 1974, 238-241",1974,Some studies of substituent effects on the nucleophilic reactivities of thiophenoxide ions,"Crampton, Michael R.; Willison, Michael J.",https://doi.org/10.1039/P29740000238,,3,3-methylbenzenethiol,Cl,Ethanol:Water (95% v/v),-1.47,,modelled
35,0.019,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,[S-]c1ccccc1,O=[N+]([O-])c1ccc(Sc2ccccc2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.[S-]c1ccccc1>>O=[N+]([O-])c1ccc(Sc2ccccc2)c([N+](=O)[O-])c1,298,19.77,"J. Chem. Soc., Perkin Trans. 2, 1974, 238-241",1974,Some studies of substituent effects on the nucleophilic reactivities of thiophenoxide ions,"Crampton, Michael R.; Willison, Michael J.",https://doi.org/10.1039/P29740000238,,3,benzenethiol,Cl,Ethanol:Water (95% v/v),-1.72,,modelled
36,0.0182,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,Fc1ccc([S-])cc1,O=[N+]([O-])c1ccc(Sc2ccc(F)cc2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.Fc1ccc([S-])cc1>>O=[N+]([O-])c1ccc(Sc2ccc(F)cc2)c([N+](=O)[O-])c1,298,19.79,"J. Chem. Soc., Perkin Trans. 2, 1974, 238-241",1974,Some studies of substituent effects on the nucleophilic reactivities of thiophenoxide ions,"Crampton, Michael R.; Willison, Michael J.",https://doi.org/10.1039/P29740000238,,3,4-fluorobenzenethiol,Cl,Ethanol:Water (95% v/v),-1.74,,modelled
37,0.0196,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,COc1cccc([S-])c1,COc1cccc(Sc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.COc1cccc([S-])c1>>COc1cccc(Sc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1,298,19.75,"J. Chem. Soc., Perkin Trans. 2, 1974, 238-241",1974,Some studies of substituent effects on the nucleophilic reactivities of thiophenoxide ions,"Crampton, Michael R.; Willison, Michael J.",https://doi.org/10.1039/P29740000238,,3,3-methoxybenzenethiol,Cl,Ethanol:Water (95% v/v),-1.71,,modelled
38,0.0098,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,[S-]c1ccc(Cl)cc1,O=[N+]([O-])c1ccc(Sc2ccc(Cl)cc2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.[S-]c1ccc(Cl)cc1>>O=[N+]([O-])c1ccc(Sc2ccc(Cl)cc2)c([N+](=O)[O-])c1,298,20.16,"J. Chem. Soc., Perkin Trans. 2, 1974, 238-241",1974,Some studies of substituent effects on the nucleophilic reactivities of thiophenoxide ions,"Crampton, Michael R.; Willison, Michael J.",https://doi.org/10.1039/P29740000238,,3,4-chlorobenzenethiol,Cl,Ethanol:Water (95% v/v),-2.01,,modelled
